,value,supplier_name,publish_date,agency_name
58920,10015.0,Hudson Global Resources (Aust) P/L,2008-11-05,Department of Infrastructure Transport Regional Development and Local Government
58922,10000.0,AUST GOVT SOLICITOR-CENTRAL OFF,2008-11-05,Department of Infrastructure Transport Regional Development and Local Government
58925,16000.0,AUST GOVT SOLICITOR-CENTRAL OFF,2008-11-05,Department of Infrastructure Transport Regional Development and Local Government
58927,15000.0,AUST GOVT SOLICITOR-CENTRAL OFF,2008-11-05,Department of Infrastructure Transport Regional Development and Local Government
58929,14577.2,AUST GOVT SOLICITOR-CENTRAL OFF,2008-11-05,Department of Infrastructure Transport Regional Development and Local Government
61457,11781.0,Skippers Aviation P/L,2008-11-11,Department of Infrastructure Transport Regional Development and Local Government
61462,27064.79,QANTAS,2008-11-11,Department of Infrastructure Transport Regional Development and Local Government
61505,10230.84,QANTAS,2008-11-11,Department of Infrastructure Transport Regional Development and Local Government
68226,97483.65,STRATAGEM COMPUTER CONTRACTORS,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68228,25740.0,MINTER ELLISON LAWYERS,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68231,80000.0,AUST GOVT SOLICITOR-CENTRAL OFF,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68233,20000.0,Clayton Utz Canberra,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68235,50000.0,AUST GOVT SOLICITOR-CENTRAL OFF,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68239,15000.0,AUST GOVT SOLICITOR-CENTRAL OFF,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68241,35000.0,AUST GOVT SOLICITOR-CENTRAL OFF,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68243,25000.0,AUST GOVT SOLICITOR-CENTRAL OFF,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68245,17000.0,AUST GOVT SOLICITOR-CENTRAL OFF,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68247,10000.0,AUST GOVT SOLICITOR-CENTRAL OFF,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68249,10000.0,AUST GOVT SOLICITOR-CENTRAL OFF,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68251,10000.0,AUST GOVT SOLICITOR-CENTRAL OFF,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68252,16000.0,STRATAGEM COMPUTER CONTRACTORS,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68254,13000.0,Vedior Asia Pacific Pty Limited,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68256,10000.0,AUST GOVT SOLICITOR-CENTRAL OFF,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68258,30000.0,Hays Specialist Recruitment (AUST),2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68260,12000.0,Hudson Global Resources (Aust) P/L,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68261,13579.0,New Millenium Print Pty Ltd,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68262,43868.0,LeasePlan Australia Ltd,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68263,55850.0,GEOSCIENCE AUSTRALIA,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68264,25180.1,AUST GOVT SOLICITOR-CENTRAL OFF,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68266,32088.48,LeasePlan Australia Ltd,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68268,26444.0,TC EDDY & BJ LONG &  JM MILLAR,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68272,21857.0,LeasePlan Australia Ltd,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68274,10000.0,AUST GOVT SOLICITOR-CENTRAL OFF,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68276,20000.0,AUST GOVT SOLICITOR-CENTRAL OFF,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68278,48000.0,INFINITE SYSTEMS GROUP PTY LTD,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68280,39035.04,LeasePlan Australia Ltd,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68281,15000.0,DLA PHILLIPS FOX,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68282,33047.0,MINTER ELLISON LAWYERS,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68285,75000.0,PROFESSOR DUDLEY CECIL CREAGH,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68287,16500.0,AUST GOVT SOLICITOR-CENTRAL OFF,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68289,23000.0,AUST GOVT SOLICITOR-CENTRAL OFF,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68290,66600.0,AUST GOVT SOLICITOR-CENTRAL OFF,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68292,20000.0,Vedior Asia Pacific Pty Limited,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68294,192636.4,LEK CONSULTING PTY LTD,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68296,67546.09,Tower Software Engineering P/L,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68298,227700.0,InfoHRM Pty Ltd,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68300,106748.5,CPM Dept of Foreign Affairs & Trade,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68302,110000.0,Price Waterhouse Coopers,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68305,26400.0,D.A DE ROTA & S.L DE ROTA,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68307,141000.0,CPM Dept of Foreign Affairs & Trade,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68309,26000.0,ACCESS MACQUARIE LIMITED,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68313,13282.5,LYCAN PTY LTD,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68315,18000.0,Flight Medicine Systems Pty Ltd,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68319,180689.0,COMSUPER,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68322,495000.0,GEORGE P JOHNSON (AUSTRALIA) PTY LI,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68326,135000.0,The trustee for OSA Unit Trust,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68328,10000.0,KOWALSKI RECRUITMENT PTY LTD,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68330,35163.75,SYDNEY WATER,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68331,17014.19,OPTUS BILLING SERVICES PTY LTD,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68334,24630.03,United Group Services Pty Ltd,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68338,18449.94,CONVERGA PTY LTD,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68342,50000.0,DEPARTMENT OF TERRITORY & MUNICIPAL,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68346,60000.0,OAKTON AA SERVICES PTY LTD,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68348,244585.0,Reputation Pty Ltd,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68350,60000.0,Digital Digest Data Design Pty Ltd,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68352,363476.0,NGA.NET Pty Ltd,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68354,120000.0,Corporate Diagnostics Pty Ltd,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68356,58500.0,Howat Bradshaw & Associates Pty Ltd,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68359,100000.0,Department for Planning & Infrastru,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68360,88000.0,THE NOUS GROUP,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68361,100000.0,"Dept. for Transport, Energy &",2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68362,100000.0,OFFICE OF FINANCIAL MANAGEMENT,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68363,19964.7,Swets Information Services,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68364,13643.3,ERNST & YOUNG,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68365,69400.0,TERENCE MALCOLM WESLEY-SMITH,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68367,26400.0,LeasePlan Australia Ltd,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68368,22740.81,EBSCO AUSTRALIA,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68369,49000.0,CPM Dept of Foreign Affairs & Trade,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
68373,100000.0,Department of Defence,2008-11-25,Department of Infrastructure Transport Regional Development and Local Government
72528,50889.52,American Science & Engineering Inc,2008-12-02,Department of Infrastructure Transport Regional Development and Local Government
72539,92994.42,Harvard Business School,2008-12-02,Department of Infrastructure Transport Regional Development and Local Government
72571,25274.86,International Civic Aviation Organization,2008-12-02,Department of Infrastructure Transport Regional Development and Local Government
73435,578021.4,Australia Pacific Airports (Melbour,2008-12-03,Department of Infrastructure Transport Regional Development and Local Government
73438,58803.8,Westralia Airports Corp P/L,2008-12-03,Department of Infrastructure Transport Regional Development and Local Government
73440,659608.4,SYDNEY AIRPORT CORPORATION,2008-12-03,Department of Infrastructure Transport Regional Development and Local Government
73442,85000.0,L-3 COMMUNICATIONS AUSTRALIA,2008-12-03,Department of Infrastructure Transport Regional Development and Local Government
73444,228448.08,AUST GOVT SOLICITOR-CENTRAL OFF,2008-12-03,Department of Infrastructure Transport Regional Development and Local Government
73445,11542.5,Hays Specialist Recruitment (AUST),2008-12-03,Department of Infrastructure Transport Regional Development and Local Government
73446,63010.5,Hays Specialist Recruitment (AUST),2008-12-03,Department of Infrastructure Transport Regional Development and Local Government
73447,21500.0,THE TRUSTEE FOR CHARTER MASON SERVI,2008-12-03,Department of Infrastructure Transport Regional Development and Local Government
73448,100000.0,WALTER & TURNBULL  PTY LTD,2008-12-03,Department of Infrastructure Transport Regional Development and Local Government
73450,14000.0,Hays Specialist Recruitment (AUST),2008-12-03,Department of Infrastructure Transport Regional Development and Local Government
73452,41000.0,Collective Resources IT Recruitment,2008-12-03,Department of Infrastructure Transport Regional Development and Local Government
73455,15000.0,Clayton Utz Canberra,2008-12-03,Department of Infrastructure Transport Regional Development and Local Government
73457,77000.0,AUST GOVT SOLICITOR-CENTRAL OFF,2008-12-03,Department of Infrastructure Transport Regional Development and Local Government
73459,38010.0,Hays Specialist Recruitment (AUST),2008-12-03,Department of Infrastructure Transport Regional Development and Local Government
73463,95000.0,Hudson Global Resources (Aust) P/L,2008-12-03,Department of Infrastructure Transport Regional Development and Local Government
73464,30020.0,LeasePlan Australia Ltd,2008-12-03,Department of Infrastructure Transport Regional Development and Local Government
73466,49995.0,ADDCOLOUR DIGITAL PTY LTD,2008-12-03,Department of Infrastructure Transport Regional Development and Local Government
73468,29787.2,Hobart International Airport P/L,2008-12-03,Department of Infrastructure Transport Regional Development and Local Government
73470,1547839.05,United Group Services Pty Ltd,2008-12-03,Department of Infrastructure Transport Regional Development and Local Government
73472,741021.88,United Group Services Pty Ltd,2008-12-03,Department of Infrastructure Transport Regional Development and Local Government
73475,106134.0,United Group Services Pty Ltd,2008-12-03,Department of Infrastructure Transport Regional Development and Local Government
73477,12086.89,OPTUS BILLING SERVICES PTY LTD,2008-12-03,Department of Infrastructure Transport Regional Development and Local Government
73479,30699.1,CONVERGA PTY LTD,2008-12-03,Department of Infrastructure Transport Regional Development and Local Government
73481,90177.81,TELSTRA,2008-12-03,Department of Infrastructure Transport Regional Development and Local Government
73483,30000.0,PERFORMANCE FIRST PTY LTD,2008-12-03,Department of Infrastructure Transport Regional Development and Local Government
73485,34575.9,HUDSON GLOBAL RESOURCES,2008-12-03,Department of Infrastructure Transport Regional Development and Local Government
73487,42240.0,OAKTON AA SERVICES PTY LTD,2008-12-03,Department of Infrastructure Transport Regional Development and Local Government
73489,13520.1,Townsville Airport Pty Ltd,2008-12-03,Department of Infrastructure Transport Regional Development and Local Government
73491,28000.0,Hudson Global Resources (Aust) P/L,2008-12-03,Department of Infrastructure Transport Regional Development and Local Government
73493,29975.0,INTERFLEET TECHNOLOGY PTY LTD,2008-12-03,Department of Infrastructure Transport Regional Development and Local Government
73496,1645650.81,ISIS PROJECTS PTY LTD,2008-12-03,Department of Infrastructure Transport Regional Development and Local Government
73498,11752.0,AUSTRALIAN PUBLIC SERVICE COMMISSIO,2008-12-03,Department of Infrastructure Transport Regional Development and Local Government
73500,288000.0,CYBERTRUST AUSTRALIA PTY LTD,2008-12-03,Department of Infrastructure Transport Regional Development and Local Government
73502,254511.4,BRISBANE AIRPORT CORPORATION PTY LT,2008-12-03,Department of Infrastructure Transport Regional Development and Local Government
73504,54001.2,Gold Coast Airport  Pty Limited,2008-12-03,Department of Infrastructure Transport Regional Development and Local Government
74365,30720.0,Australian National University,2008-12-08,Department of Infrastructure Transport Regional Development and Local Government
74367,28875.0,THE TRUSTEE FOR ANTZ SOFTWARE TRUST,2008-12-08,Department of Infrastructure Transport Regional Development and Local Government
74369,250000.0,TELSTRA,2008-12-08,Department of Infrastructure Transport Regional Development and Local Government
74370,25000.0,Hays Specialist Recruitment (AUST),2008-12-08,Department of Infrastructure Transport Regional Development and Local Government
74372,100000.0,Porter Novelli Australia P/L,2008-12-08,Department of Infrastructure Transport Regional Development and Local Government
74374,45000.0,DATA#3 LTD,2008-12-08,Department of Infrastructure Transport Regional Development and Local Government
74376,40000.0,Bearcage Pty Ltd,2008-12-08,Department of Infrastructure Transport Regional Development and Local Government
74380,36839.0,LeasePlan Australia Ltd,2008-12-08,Department of Infrastructure Transport Regional Development and Local Government
74383,10457.14,Qantas,2008-12-08,Department of Infrastructure Transport Regional Development and Local Government
74385,11332.04,Qantas,2008-12-08,Department of Infrastructure Transport Regional Development and Local Government
74387,11557.52,Qantas,2008-12-08,Department of Infrastructure Transport Regional Development and Local Government
74389,11609.84,Qantas,2008-12-08,Department of Infrastructure Transport Regional Development and Local Government
74391,11661.84,Qantas,2008-12-08,Department of Infrastructure Transport Regional Development and Local Government
74393,12910.22,Qantas,2008-12-08,Department of Infrastructure Transport Regional Development and Local Government
74395,12910.22,Qantas,2008-12-08,Department of Infrastructure Transport Regional Development and Local Government
74396,10955.66,Qantas,2008-12-08,Department of Infrastructure Transport Regional Development and Local Government
74398,10955.66,Qantas,2008-12-08,Department of Infrastructure Transport Regional Development and Local Government
74400,10955.66,Qantas,2008-12-08,Department of Infrastructure Transport Regional Development and Local Government
74401,12911.14,Qantas,2008-12-08,Department of Infrastructure Transport Regional Development and Local Government
74403,12911.14,Qantas,2008-12-08,Department of Infrastructure Transport Regional Development and Local Government
74484,15813.85,Qantas,2008-12-08,Department of Infrastructure Transport Regional Development and Local Government
74499,11371.02,Qantas,2008-12-08,Department of Infrastructure Transport Regional Development and Local Government
74517,10768.12,Qantas,2008-12-08,Department of Infrastructure Transport Regional Development and Local Government
74530,10768.12,Qantas,2008-12-08,Department of Infrastructure Transport Regional Development and Local Government
74543,10768.12,Qantas,2008-12-08,Department of Infrastructure Transport Regional Development and Local Government
74553,10775.22,Qantas,2008-12-08,Department of Infrastructure Transport Regional Development and Local Government
77955,10000.0,Clayton Utz Canberra,2008-12-15,Department of Infrastructure Transport Regional Development and Local Government
77957,15000.0,Clayton Utz Canberra,2008-12-15,Department of Infrastructure Transport Regional Development and Local Government
77960,15000.0,AUST GOVT SOLICITOR-CENTRAL OFF,2008-12-15,Department of Infrastructure Transport Regional Development and Local Government
77962,14000.0,AUST GOVT SOLICITOR-CENTRAL OFF,2008-12-15,Department of Infrastructure Transport Regional Development and Local Government
77964,29364.48,LeasePlan Australia Ltd,2008-12-15,Department of Infrastructure Transport Regional Development and Local Government
77966,67190.2,FUJI XEROX AUSTRALIA PTY LTD,2008-12-15,Department of Infrastructure Transport Regional Development and Local Government
77968,40000.0,FUJI XEROX AUSTRALIA PTY LTD,2008-12-15,Department of Infrastructure Transport Regional Development and Local Government
77970,172260.0,TC EDDY & BJ LONG &  JM MILLAR,2008-12-15,Department of Infrastructure Transport Regional Development and Local Government
77972,41738.4,STRATAGEM COMPUTER CONTRACTORS,2008-12-15,Department of Infrastructure Transport Regional Development and Local Government
77974,75000.0,Reputation Pty Ltd,2008-12-15,Department of Infrastructure Transport Regional Development and Local Government
77976,20000.0,DLA PHILLIPS FOX,2008-12-15,Department of Infrastructure Transport Regional Development and Local Government
77977,133355.0,SMS Consulting,2008-12-15,Department of Infrastructure Transport Regional Development and Local Government
77980,130000.0,OAKTON AA SERVICES PTY LTD,2008-12-15,Department of Infrastructure Transport Regional Development and Local Government
77982,13331.79,Hudson Global Resources (Aust) P/L,2008-12-15,Department of Infrastructure Transport Regional Development and Local Government
77984,76091.4,Space Time Research Pty Ltd,2008-12-15,Department of Infrastructure Transport Regional Development and Local Government
77986,31000.0,WARSASH SCIENTIFIC PTY LTD,2008-12-15,Department of Infrastructure Transport Regional Development and Local Government
77988,50000.0,MAIN ROADS,2008-12-15,Department of Infrastructure Transport Regional Development and Local Government
77990,23100.0,MARITRADE,2008-12-15,Department of Infrastructure Transport Regional Development and Local Government
77992,143000.0,Aerodrome Management Services,2008-12-15,Department of Infrastructure Transport Regional Development and Local Government
80494,40000.0,The Trustee for APIS Consulting Gro,2008-12-22,Department of Infrastructure Transport Regional Development and Local Government
80496,300000.0,TC EDDY & BJ LONG &  JM MILLAR,2008-12-22,Department of Infrastructure Transport Regional Development and Local Government
80498,75000.0,PEOPLEBANK AUSTRALIA LTD,2008-12-22,Department of Infrastructure Transport Regional Development and Local Government
80501,12368.4,Hays Specialist Recruitment (AUST),2008-12-22,Department of Infrastructure Transport Regional Development and Local Government
80503,14960.0,MINTER ELLISON LAWYERS,2008-12-22,Department of Infrastructure Transport Regional Development and Local Government
80505,40000.0,FUJI XEROX AUSTRALIA PTY LTD,2008-12-22,Department of Infrastructure Transport Regional Development and Local Government
80507,13000.0,Ross Human Directions Ltd,2008-12-22,Department of Infrastructure Transport Regional Development and Local Government
80509,26000.0,THE TRUSTEE FOR AUSTIN FAMILY TRUST,2008-12-22,Department of Infrastructure Transport Regional Development and Local Government
80511,38000.0,MINTER ELLISON LAWYERS,2008-12-22,Department of Infrastructure Transport Regional Development and Local Government
80513,12000.0,AUST GOVT SOLICITOR-CENTRAL OFF,2008-12-22,Department of Infrastructure Transport Regional Development and Local Government
80515,10000.0,AUST GOVT SOLICITOR-CENTRAL OFF,2008-12-22,Department of Infrastructure Transport Regional Development and Local Government
80517,65000.0,Vedior Asia Pacific Pty Limited,2008-12-22,Department of Infrastructure Transport Regional Development and Local Government
80519,19960.91,AMBIT GROUP PTY LTD,2008-12-22,Department of Infrastructure Transport Regional Development and Local Government
80522,49000.0,SWELL DESIGN GROUP PTY LTD,2008-12-22,Department of Infrastructure Transport Regional Development and Local Government
80524,22683.18,TELSTRA,2008-12-22,Department of Infrastructure Transport Regional Development and Local Government
80526,16175.11,OPTUS BILLING SERVICES PTY LTD,2008-12-22,Department of Infrastructure Transport Regional Development and Local Government
80528,1547193.71,United Group Services Pty Ltd,2008-12-22,Department of Infrastructure Transport Regional Development and Local Government
80530,1717098.3,United Group Services Pty Ltd,2008-12-22,Department of Infrastructure Transport Regional Development and Local Government
80532,107508.99,United Group Services Pty Ltd,2008-12-22,Department of Infrastructure Transport Regional Development and Local Government
80534,269947.98,United Group Services Pty Ltd,2008-12-22,Department of Infrastructure Transport Regional Development and Local Government
80536,792000.0,United Group Services Pty Ltd,2008-12-22,Department of Infrastructure Transport Regional Development and Local Government
80538,374000.0,United Group Services Pty Ltd,2008-12-22,Department of Infrastructure Transport Regional Development and Local Government
80540,58000.0,INFINITE SYSTEMS GROUP PTY LTD,2008-12-22,Department of Infrastructure Transport Regional Development and Local Government
80543,17500.0,ATTORNEY-GENERAL'S DEPARTMENT,2008-12-22,Department of Infrastructure Transport Regional Development and Local Government
80545,12949.0,Hays Specialist Recruitment (AUST),2008-12-22,Department of Infrastructure Transport Regional Development and Local Government
80547,770000.0,DEAKIN UNIVERSITY,2008-12-22,Department of Infrastructure Transport Regional Development and Local Government
80549,300000.0,JARDINE LLOYD THOMPSON PTY LTD,2008-12-22,Department of Infrastructure Transport Regional Development and Local Government
82791,142000.0,CPM Dept of Foreign Affairs & Trade,2009-01-05,Department of Infrastructure Transport Regional Development and Local Government
82793,11792.0,Deloitte Touche Tohmatsu,2009-01-05,Department of Infrastructure Transport Regional Development and Local Government
82795,23347.5,LeasePlan Australia Ltd,2009-01-05,Department of Infrastructure Transport Regional Development and Local Government
82798,45000.0,Intelligent Risks Pty Ltd,2009-01-05,Department of Infrastructure Transport Regional Development and Local Government
82800,21750.0,CIT SOLUTIONS,2009-01-05,Department of Infrastructure Transport Regional Development and Local Government
82802,44000.0,KELTEC INDUSTRIES PTY LTD,2009-01-05,Department of Infrastructure Transport Regional Development and Local Government
82804,500000.0,MINTER ELLISON LAWYERS,2009-01-05,Department of Infrastructure Transport Regional Development and Local Government
82806,22500.0,Hays Specialist Recruitment (AUST),2009-01-05,Department of Infrastructure Transport Regional Development and Local Government
82808,20000.0,JOAN MARGARET WILSON JONES,2009-01-05,Department of Infrastructure Transport Regional Development and Local Government
82810,15000.0,AUST GOVT SOLICITOR-CENTRAL OFF,2009-01-05,Department of Infrastructure Transport Regional Development and Local Government
85084,13500.0,GIRAFFE VISUAL COMMUNICATION,2009-01-12,Department of Infrastructure Transport Regional Development and Local Government
85086,25500.0,Bearcage Pty Ltd,2009-01-12,Department of Infrastructure Transport Regional Development and Local Government
85088,27000.0,Bearcage Pty Ltd,2009-01-12,Department of Infrastructure Transport Regional Development and Local Government
85090,16500.0,Hays Specialist Recruitment (AUST),2009-01-12,Department of Infrastructure Transport Regional Development and Local Government
85092,16500.0,Hays Specialist Recruitment (AUST),2009-01-12,Department of Infrastructure Transport Regional Development and Local Government
85094,14132.8,FUJI XEROX AUSTRALIA PTY LTD,2009-01-12,Department of Infrastructure Transport Regional Development and Local Government
85097,42000.0,STRATAGEM COMPUTER CONTRACTORS,2009-01-12,Department of Infrastructure Transport Regional Development and Local Government
85098,12000.0,Clayton Utz Canberra,2009-01-12,Department of Infrastructure Transport Regional Development and Local Government
85099,10540.0,AUST GOVT SOLICITOR-CENTRAL OFF,2009-01-12,Department of Infrastructure Transport Regional Development and Local Government
85100,12000.0,ERYL MORGAN PUBLICATIONS PTY LTD,2009-01-12,Department of Infrastructure Transport Regional Development and Local Government
85101,25000.0,QINETIQ AEROSTRUCTURES PTY LTD,2009-01-12,Department of Infrastructure Transport Regional Development and Local Government
85102,41184.0,OAKTON AA SERVICES PTY LTD,2009-01-12,Department of Infrastructure Transport Regional Development and Local Government
85103,69103.35,Reputation Pty Ltd,2009-01-12,Department of Infrastructure Transport Regional Development and Local Government
85104,45000.0,Adelaide Airport Limited,2009-01-12,Department of Infrastructure Transport Regional Development and Local Government
85105,45000.0,Australia Pacific Airports (Melbour,2009-01-12,Department of Infrastructure Transport Regional Development and Local Government
85106,45000.0,SYDNEY AIRPORT CORPORATION,2009-01-12,Department of Infrastructure Transport Regional Development and Local Government
85108,200000.0,Porter Novelli Australia P/L,2009-01-12,Department of Infrastructure Transport Regional Development and Local Government
85110,14000.0,Fairlie Williams,2009-01-12,Department of Infrastructure Transport Regional Development and Local Government
85111,29000.0,LeasePlan Australia Ltd,2009-01-12,Department of Infrastructure Transport Regional Development and Local Government
85112,25000.0,GE Security Pty Ltd,2009-01-12,Department of Infrastructure Transport Regional Development and Local Government
85888,12578.62,Alan Hobbs,2009-01-14,Department of Infrastructure Transport Regional Development and Local Government
85894,29039.15,OPTOSECURITY,2009-01-14,Department of Infrastructure Transport Regional Development and Local Government
85993,10526.46,QANTAS,2009-01-14,Department of Infrastructure Transport Regional Development and Local Government
85998,10137.86,QANTAS,2009-01-14,Department of Infrastructure Transport Regional Development and Local Government
86427,1524528.71,International ivil Aviaition Organizations,2009-01-16,Department of Infrastructure Transport Regional Development and Local Government
86433,26475.88,Sustainable Development Solutions,2009-01-16,Department of Infrastructure Transport Regional Development and Local Government
86447,52647.19,FlightScape Incorporated,2009-01-16,Department of Infrastructure Transport Regional Development and Local Government
87250,29000.0,LeasePlan Australia Ltd,2009-01-19,Department of Infrastructure Transport Regional Development and Local Government
87252,14000.0,AUST GOVT SOLICITOR-CENTRAL OFF,2009-01-19,Department of Infrastructure Transport Regional Development and Local Government
87254,20000.0,Di Marzio Research Pty Ltd,2009-01-19,Department of Infrastructure Transport Regional Development and Local Government
87259,18480.0,BOHM PTY LTD T/AS,2009-01-19,Department of Infrastructure Transport Regional Development and Local Government
87261,13750.0,Clayton Utz Canberra,2009-01-19,Department of Infrastructure Transport Regional Development and Local Government
87263,27288.62,LeasePlan Australia Ltd,2009-01-19,Department of Infrastructure Transport Regional Development and Local Government
87265,13000.0,BLUE STAR PRINT GROUP AUSTRALIA PTY,2009-01-19,Department of Infrastructure Transport Regional Development and Local Government
87267,19250.0,Hays Specialist Recruitment (AUST),2009-01-19,Department of Infrastructure Transport Regional Development and Local Government
87269,31020.0,Hays Specialist Recruitment (AUST),2009-01-19,Department of Infrastructure Transport Regional Development and Local Government
87271,16000.0,Ross Human Directions Ltd,2009-01-19,Department of Infrastructure Transport Regional Development and Local Government
87273,11000.0,EXECUTIVE INTELLIGENCE GROUP PTY LT,2009-01-19,Department of Infrastructure Transport Regional Development and Local Government
87275,45000.0,Frontier Group Australia Pty Ltd,2009-01-19,Department of Infrastructure Transport Regional Development and Local Government
87277,18638.4,FUJI XEROX AUSTRALIA PTY LTD,2009-01-19,Department of Infrastructure Transport Regional Development and Local Government
87280,600000.0,EGOV PTY LTD,2009-01-19,Department of Infrastructure Transport Regional Development and Local Government
87282,65000.0,Thompson Clarke Shipping Pty Ltd,2009-01-19,Department of Infrastructure Transport Regional Development and Local Government
87284,25931.0,LeasePlan Australia Ltd,2009-01-19,Department of Infrastructure Transport Regional Development and Local Government
87286,48767.0,FUJI XEROX AUSTRALIA PTY LTD,2009-01-19,Department of Infrastructure Transport Regional Development and Local Government
87288,79000.0,Collective Resources IT Recruitment,2009-01-19,Department of Infrastructure Transport Regional Development and Local Government
87290,49504.0,"Northern Territory Police, Fire",2009-01-19,Department of Infrastructure Transport Regional Development and Local Government
87292,11719.18,TELSTRA,2009-01-19,Department of Infrastructure Transport Regional Development and Local Government
89826,65296.0,FUJI XEROX AUSTRALIA PTY LTD,2009-01-27,Department of Infrastructure Transport Regional Development and Local Government
89828,18000.0,RANDSTAD PTY LTD,2009-01-27,Department of Infrastructure Transport Regional Development and Local Government
89830,20771.61,AMBIT GROUP PTY LTD,2009-01-27,Department of Infrastructure Transport Regional Development and Local Government
89832,10000.0,PARAGON PRINTERS AUSTRALASIA PTY LT,2009-01-27,Department of Infrastructure Transport Regional Development and Local Government
89834,43867.03,LeasePlan Australia Ltd,2009-01-27,Department of Infrastructure Transport Regional Development and Local Government
89836,25181.42,HMA Blaze Pty Ltd,2009-01-27,Department of Infrastructure Transport Regional Development and Local Government
89839,30000.0,FUJI XEROX AUSTRALIA PTY LTD,2009-01-27,Department of Infrastructure Transport Regional Development and Local Government
89841,20000.0,Hays Specialist Recruitment (AUST),2009-01-27,Department of Infrastructure Transport Regional Development and Local Government
89843,45000.0,Hays Specialist Recruitment (AUST),2009-01-27,Department of Infrastructure Transport Regional Development and Local Government
89845,15600.0,FUJI XEROX AUSTRALIA PTY LTD,2009-01-27,Department of Infrastructure Transport Regional Development and Local Government
